Experiment,Dropout,Augmentation,L2,Train Acc,Val Acc,Best Val Acc,Overfit Gap,Epochs
Dropout 0.0 (none),0.0,medium,0.0,0.9015,0.5906,1.0000,+0.3109,8
Dropout 0.3 (low),0.3,medium,0.0,0.8943,0.8265,1.0000,+0.0679,8
Dropout 0.5 (medium),0.5,medium,0.0,0.8998,0.1879,1.0000,+0.7119,8
Dropout 0.7 (high),0.7,medium,0.0,0.8831,0.6357,1.0000,+0.2474,9
Aug: None,0.5,none,0.0,0.9243,0.9645,1.0000,-0.0403,9
Aug: Weak,0.5,weak,0.0,0.8914,0.8140,1.0000,+0.0774,8
Aug: Strong,0.5,strong,0.0,0.8529,0.8198,1.0000,+0.0331,8
L2: 0.001,0.5,medium,0.001,0.8910,0.6702,1.0000,+0.2208,8
L2: 0.01,0.5,medium,0.01,0.8931,0.4199,1.0000,+0.4732,9
Aug: Medium,0.5,medium,0.0,0.8953,0.5935,1.0000,+0.3018,8
